subject	model	motion	con	eff_est
sub-24	FixMod	opt2	Lgain-Neut	0.5853777994079108
sub-24	FixMod	opt3	Lgain-Neut	0.5385699144311744
sub-24	FixMod	opt4	Lgain-Neut	0.5383582478550754
sub-08	AntMod	opt1	Lgain-Neut	3.7515329760529497
sub-08	AntMod	opt2	Lgain-Neut	3.2595108863853577
sub-08	AntMod	opt3	Lgain-Neut	2.726591542207866
sub-08	AntMod	opt4	Lgain-Neut	2.6964447082911933
sub-08	CueMod	opt1	Lgain-Neut	1.2919712609500218
sub-08	CueMod	opt2	Lgain-Neut	1.098251871437359
sub-08	CueMod	opt3	Lgain-Neut	0.9118542639776328
sub-08	CueMod	opt4	Lgain-Neut	0.9027825661351139
sub-08	FixMod	opt1	Lgain-Neut	0.7291122125348631
sub-08	FixMod	opt2	Lgain-Neut	0.6474814720902395
sub-08	FixMod	opt3	Lgain-Neut	0.5525280443650764
sub-08	FixMod	opt4	Lgain-Neut	0.5461511885117196
sub-22	AntMod	opt1	Lgain-Neut	3.6922868941111333
sub-22	AntMod	opt2	Lgain-Neut	3.3698218326076526
sub-22	AntMod	opt3	Lgain-Neut	3.002280912220244
sub-22	AntMod	opt4	Lgain-Neut	3.002280912220244
sub-22	CueMod	opt1	Lgain-Neut	1.2791497584058766
sub-22	CueMod	opt2	Lgain-Neut	1.1789482750970608
sub-22	CueMod	opt3	Lgain-Neut	1.0514163149927238
sub-22	CueMod	opt4	Lgain-Neut	1.0514163149927238
sub-22	FixMod	opt1	Lgain-Neut	0.7147555770967341
sub-22	FixMod	opt2	Lgain-Neut	0.642825534694347
sub-22	FixMod	opt3	Lgain-Neut	0.5669886472831356
sub-22	FixMod	opt4	Lgain-Neut	0.5669886472831356
sub-75	AntMod	opt1	Lgain-Neut	3.770965987630949
sub-75	AntMod	opt2	Lgain-Neut	3.392845238485143
sub-75	AntMod	opt3	Lgain-Neut	2.876064394750168
sub-75	AntMod	opt4	Lgain-Neut	2.848236764352011
sub-75	CueMod	opt1	Lgain-Neut	1.30501804421945
sub-75	CueMod	opt2	Lgain-Neut	1.1737990369034144
